Iname,pool_type,destination_type,lifetime_seconds,max_pool_size,param1,param2,param3,param4,param5,param6,param7,param8,param9,param10,status
C8,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
7B,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
1B,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
3F,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
7E,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
B2,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
4A,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
9B,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
2E,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
4D,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
D9,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
D2,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
A0,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
1D,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
6F,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
D3,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
E7,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
E2,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
E1,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
E4,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
A4,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
C0,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
E6,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
5A,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
8C,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
7D,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
A2,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
D1,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
8D,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
4C,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
7A,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
4E,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
6B,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
5F,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
4F,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
E5,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
E8,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
C4,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
A8,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
3C,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
5D,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
2D,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
5C,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
1C,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
