advertiser_id_from_network,campaign_id_from_network,affiliate_id_from_network
rr_3887680917,a0A6771,InvocaYelp_444490000030275
rr_3887680917,a0A6575,InvocaYelp_444490000030275
rr_3887680917,a0A6577,InvocaYelp_444490000030275
rr_3887680917,a0A6790,InvocaYelp_444490000030275
rr_3887680917,a0A6799,InvocaYelp_444490000030275
rr_3887680917,a0A6422,InvocaYelp_444490000030275
rr_3887680917,a0A6955,InvocaYelp_444490000030275
rr_3887680917,a0A6671,InvocaYelp_444490000030275
rr_3887680917,a0A6772,InvocaYelp_444490000030275
rr_3887680917,a0A6852,InvocaYelp_444490000030275
rr_3887680917,a0A6094,InvocaYelp_444490000030275
rr_3887680917,a0A6576,InvocaYelp_444490000030275
rr_3887680917,a0A6898,InvocaYelp_444490000030275
rr_3887680917,a0A6439,InvocaYelp_444490000030275
rr_3887680917,a0A6798,InvocaYelp_444490000030275
rr_3887680917,a0A6592,InvocaYelp_444490000030275
rr_3887680917,a0A6594,InvocaYelp_444490000030275
rr_3887680917,a0A6557,InvocaYelp_444490000030275
rr_3887680917,a0A6558,InvocaYelp_444490000030275
rr_3887680917,a0A6680,InvocaYelp_444490000030275
rr_3887680917,a0A6624,InvocaYelp_444490000030275
rr_3887680917,a0A6754,InvocaYelp_444490000030275
rr_3887680917,a0A6758,InvocaYelp_444490000030275
rr_3887680917,a0A6632,InvocaYelp_444490000030275
rr_3887680917,a0A6633,InvocaYelp_444490000030275
rr_3887680917,a0A6631,InvocaYelp_444490000030275
rr_3887680917,a0A6854,InvocaYelp_444490000030275
rr_3887680917,a0A6855,InvocaYelp_444490000030275
rr_3887680917,a0A6853,InvocaYelp_444490000030275
rr_3887680917,a0A6850,InvocaYelp_444490000030275
rr_3887680917,a0A6851,InvocaYelp_444490000030275
rr_3887680917,a0A6858,InvocaYelp_444490000030275
rr_3887680917,a0A6619,InvocaYelp_444490000030275
rr_3887680917,a0A6454,InvocaYelp_444490000030275
rr_3887680917,a0A6372,InvocaYelp_444490000030275
rr_3887680917,a0A6625,InvocaYelp_444490000030275
rr_3887680917,a0A6627,InvocaYelp_444490000030275
rr_3887680917,a0A6448,InvocaYelp_444490000030275
rr_3887680917,a0A7006,InvocaYelp_444490000030275
rr_3887680917,a0A6647,InvocaYelp_444490000030275
rr_3887680917,a0A6509,InvocaYelp_444490000030275
rr_3887680917,a0A6507,InvocaYelp_444490000030275
rr_3887680917,a0A6612,InvocaYelp_444490000030275
rr_3887680917,a0A6613,InvocaYelp_444490000030275
rr_3887680917,a0A6616,InvocaYelp_444490000030275
rr_3887680917,a0A6617,InvocaYelp_444490000030275
rr_3887680917,a0A6872,InvocaYelp_444490000030275
rr_3887680917,a0A6874,InvocaYelp_444490000030275
rr_3887680917,a0A6734,InvocaYelp_444490000030275
rr_3887680917,a0A6738,InvocaYelp_444490000030275
rr_3887680917,a0A6857,InvocaYelp_444490000030275
rr_3887680917,a0A6456,InvocaYelp_444490000030275
rr_3887680917,a0A5736,InvocaYelp_444490000030275
rr_3887680917,a0A6455,InvocaYelp_444490000030275
rr_3887680917,a0A6515,InvocaYelp_444490000030275
rr_3887680917,a0A6607,InvocaYelp_444490000030275
rr_3887680917,a0A6603,InvocaYelp_444490000030275
rr_3887680917,a0A6609,InvocaYelp_444490000030275
rr_3887680917,a0A6608,InvocaYelp_444490000030275
rr_3887680917,a0A6453,InvocaYelp_444490000030275
rr_3887680917,a0A6943,InvocaYelp_444490000030275
rr_3887680917,a0A6387,InvocaYelp_444490000030275
rr_3887680917,a0A6762,InvocaYelp_444490000030275
rr_3887680917,a0A6543,InvocaYelp_444490000030275
rr_3887680917,a0A6676,InvocaYelp_444490000030275
rr_3887680917,a0A6377,InvocaYelp_444490000030275
rr_3887680917,a0A6494,InvocaYelp_444490000030275
rr_3887680917,a0A6493,InvocaYelp_444490000030275
rr_3887680917,a0A6706,InvocaYelp_444490000030275
rr_3887680917,a0A6707,InvocaYelp_444490000030275
rr_3887680917,a0A6702,InvocaYelp_444490000030275
rr_3887680917,a0A6703,InvocaYelp_444490000030275
rr_3887680917,a0A6700,InvocaYelp_444490000030275
rr_3887680917,a0A6486,InvocaYelp_444490000030275
rr_3887680917,a0A6716,InvocaYelp_444490000030275
rr_3887680917,a0A6245,InvocaYelp_444490000030275
rr_3887680917,a0A6630,InvocaYelp_444490000030275
rr_3887680917,a0A6827,InvocaYelp_444490000030275
rr_3887680917,a0A6661,InvocaYelp_444490000030275
rr_3887680917,a0A6662,InvocaYelp_444490000030275
rr_3887680917,a0A6669,InvocaYelp_444490000030275
rr_3887680917,a0A6803,InvocaYelp_444490000030275
rr_3887680917,a0A6485,InvocaYelp_444490000030275
rr_3887680917,a0A6710,InvocaYelp_444490000030275
rr_3887680917,a0A6937,InvocaYelp_444490000030275
rr_3887680917,a0A6511,InvocaYelp_444490000030275
rr_3887680917,a0A6605,InvocaYelp_444490000030275
rr_3887680917,a0A6658,InvocaYelp_444490000030275
rr_3887680917,a0A6659,InvocaYelp_444490000030275
rr_3887680917,a0A6673,InvocaYelp_444490000030275
rr_3887680917,a0A6654,InvocaYelp_444490000030275
rr_3887680917,a0A6652,InvocaYelp_444490000030275
rr_3887680917,a0A6723,InvocaYelp_444490000030275
rr_3887680917,a0A6724,InvocaYelp_444490000030275
rr_3887680917,a0A6725,InvocaYelp_444490000030275
rr_3887680917,a0A6565,InvocaYelp_444490000030275
rr_3887680917,a0A6863,InvocaYelp_444490000030275
rr_3887680917,a0A6645,InvocaYelp_444490000030275
rr_3887680917,a0A6737,InvocaYelp_444490000030275
rr_3887680917,a0A6730,InvocaYelp_444490000030275
rr_3887680917,a0A6913,InvocaYelp_444490000030275
rr_3887680917,a0A6912,InvocaYelp_444490000030275
rr_3887680917,a0A6826,InvocaYelp_444490000030275
rr_3887680917,a0A6829,InvocaYelp_444490000030275
rr_3887680917,a0A6789,InvocaYelp_444490000030275
rr_3887680917,a0A6699,InvocaYelp_444490000030275
rr_3887680917,a0A6695,InvocaYelp_444490000030275
rr_3887680917,a0A6696,InvocaYelp_444490000030275
rr_3887680917,a0A6741,InvocaYelp_444490000030275
rr_3887680917,a0A6746,InvocaYelp_444490000030275
rr_3887680917,a0A6748,InvocaYelp_444490000030275
rr_3887680917,a0A6580,InvocaYelp_444490000030275
rr_3887680917,a0A6581,InvocaYelp_444490000030275
rr_3887680917,a0A6588,InvocaYelp_444490000030275
rr_3887680917,a0A6589,InvocaYelp_444490000030275
rr_3887680917,a0A6963,InvocaYelp_444490000030275
rr_3887680917,a0A6966,InvocaYelp_444490000030275
rr_3887680917,a0A6964,InvocaYelp_444490000030275
rr_3887680917,a0A6367,InvocaYelp_444490000030275
rr_3887680917,a0A6620,InvocaYelp_444490000030275
rr_3887680917,a0A6362,InvocaYelp_444490000030275
rr_3887680917,a0A6366,InvocaYelp_444490000030275
rr_3887680917,a0A6686,InvocaYelp_444490000030275
rr_3887680917,a0A6681,InvocaYelp_444490000030275
rr_3887680917,a0A6593,InvocaYelp_444490000030275
rr_3887680917,a0A6591,InvocaYelp_444490000030275
rr_3887680917,a0A6595,InvocaYelp_444490000030275
rr_3887680917,a0A5152,InvocaYelp_444490000030275
rr_3887680917,a0A6651,InvocaYelp_444490000030275
rr_3887680917,a0A6764,InvocaYelp_444490000030275
rr_3887680917,a0A6569,InvocaYelp_444490000030275
rr_3887680917,a0A6560,InvocaYelp_444490000030275
rr_3887680917,a0A6338,InvocaYelp_444490000030275
rr_3887680917,a0A6720,InvocaYelp_444490000030275
rr_3887680917,a0A6974,InvocaYelp_444490000030275
rr_3887680917,a0A6718,InvocaYelp_444490000030275
rr_3887680917,a0A6544,InvocaYelp_444490000030275
rr_3887680917,a0A6563,InvocaYelp_444490000030275
rr_3887680917,a0A6335,InvocaYelp_444490000030275
rr_3887680917,a0A6856,InvocaYelp_444490000030275
rr_3887680917,a0A6679,InvocaYelp_444490000030275
rr_3887680917,a0A6727,InvocaYelp_444490000030275
rr_3887680917,a0A6587,InvocaYelp_444490000030275
rr_3887680917,a0A6755,InvocaYelp_444490000030275
rr_3887680917,a0A6769,InvocaYelp_444490000030275
rr_3887680917,a0A6879,InvocaYelp_444490000030275
rr_3887680917,a0A6839,InvocaYelp_444490000030275
rr_3887680917,a0A7012,InvocaYelp_444490000030275
rr_3887680917,a0A6844,InvocaYelp_444490000030275
rr_3887680917,a0A7129,InvocaYelp_444490000030275
rr_3887680917,a0A6682,InvocaYelp_444490000030275
rr_3887680917,a0A6907,InvocaYelp_444490000030275
rr_3887680917,a0A6821,InvocaYelp_444490000030275
rr_3887680917,a0A7393,InvocaYelp_444490000030275
rr_3887680917,a0A6882,InvocaYelp_444490000030275
rr_3887680917,a0A7135,InvocaYelp_444490000030275
rr_3887680917,a0A6889,InvocaYelp_444490000030275
rr_3887680917,a0A6820,InvocaYelp_444490000030275
rr_3887680917,a0A7082,InvocaYelp_444490000030275
rr_3887680917,a0A6847,InvocaYelp_444490000030275
rr_3887680917,a0A6998,InvocaYelp_444490000030275
rr_3887680917,a0A6447,InvocaYelp_444490000030275
rr_3887680917,a0A6918,InvocaYelp_444490000030275
rr_3887680917,a0A6883,InvocaYelp_444490000030275
rr_3887680917,a0A7005,InvocaYelp_444490000030275
rr_3887680917,a0A6894,InvocaYelp_444490000030275
rr_3887680917,a0A7078,InvocaYelp_444490000030275
rr_3887680917,a0A7095,InvocaYelp_444490000030275
rr_3887680917,a0A6887,InvocaYelp_444490000030275
rr_3887680917,a0A7014,InvocaYelp_444490000030275
rr_3887680917,a0A6675,InvocaYelp_444490000030275
