advertiser_id_from_network,advertiser_campaign_id_from_network,name,destination_phone_number,url
73300,7500,Marc's Heating & Cooling,6034528120,http://www.mitsubishicomfort.com
73299,7501,"Detmer & Sons, Inc.",9378792373,http://www.mitsubishicomfort.com
73299,7502,Peavey A/C & Heating,4047989672,http://www.mitsubishicomfort.com
73299,7503,Blanco Heating & Cooling,8308332558,http://www.mitsubishicomfort.com
73299,7504,Rusty's Incorporated,5087751303,http://www.mitsubishicomfort.com
73299,7505,Newmans' Heating & Air Conditioning,3523758555,http://www.mitsubishicomfort.com
73299,7506,"C & S Refrigeration, Inc.",7814479140,http://www.mitsubishicomfort.com
73299,7507,Dicks Heating & Air Conditioning,5098846444,http://www.mitsubishicomfort.com
73299,7508,"Iceberg Mechanical, Inc.",7187887978,http://www.mitsubishicomfort.com
73299,7509,All HVAC Service Co.,3477915487,http://www.mitsubishicomfort.com
73299,7510,"American Air Systems, Inc.",6034472136,http://www.mitsubishicomfort.com
73299,7511,Valley Heating & Cooling,5099622733,http://www.mitsubishicomfort.com
73299,7512,Shore Mechanical Corporation,6318780376,http://www.mitsubishicomfort.com
73300,7513,Shamrock Heating and Cooling,6098992424,http://www.mitsubishicomfort.com
73299,7514,Brad & Burke Sheet Metal,5099629871,http://www.mitsubishicomfort.com
73299,7515,Dynamic Heating & Cooling Refrigeration,9157519803,http://www.mitsubishicomfort.com
73299,7516,"Strogen's HVAC, LLC",6033300627,http://www.mitsubishicomfort.com
73300,7517,"David L Hall, Inc",8047494604,http://www.mitsubishicomfort.com
73299,7518,"Energy Concepts, Inc.",2152453200,http://www.mitsubishicomfort.com
73299,7519,"Roadrunner Air Conditioning Heating & Refrigeration, Inc",5056902565,http://www.mitsubishicomfort.com
73299,7520,"Turnbull Heating and Air Conditioning, Inc.",5853432005,http://www.mitsubishicomfort.com
73299,7521,W. Robertson Heating & Air Conditioning,4106479445,http://www.mitsubishicomfort.com
73299,7522,Patterson Comfort and Safety,5635564587,http://www.mitsubishicomfort.com
73299,7523,The Uber Company,7248878260,http://www.mitsubishicomfort.com
73299,7524,"Pisgah Heating & Cooling , LLC",8288832462,http://www.mitsubishicomfort.com
73299,7525,Blue Flame Heating & A/C,8884867645,http://www.mitsubishicomfort.com
73299,7526,Nelson Comfort,5135617517,http://www.mitsubishicomfort.com
73299,7527,Associated Services,8317574577,http://www.mitsubishicomfort.com
73299,7528,Pipitone Enterprises,5858890960,http://www.mitsubishicomfort.com
73299,7529,Uber Company,7248878260,http://www.mitsubishicomfort.com
73299,7530,Gardner Air,9516964495,http://www.mitsubishicomfort.com
73299,7531,Mark Dormann LLC,8564678500,http://www.mitsubishicomfort.com
73299,7532,Paul's HVAC,7706829003,http://www.mitsubishicomfort.com
73299,7533,A & C Systems,4122699116,http://www.mitsubishicomfort.com
73299,7534,"Young Electric, Heating & Air Inc.",2083571899,http://www.mitsubishicomfort.com
73299,7535,"Greater Comfort Heating & Air Conditioning, Inc.",8594914915,http://www.mitsubishicomfort.com
73299,7536,"Ragsdale Heating and Air Conditioning, Inc",7704431821,http://www.mitsubishicomfort.com
73299,7537,"Hearth and Home, Inc.",3212535555,http://www.mitsubishicomfort.com
73299,7538,"New England Cooling Towers, Inc.",9786496001,http://www.mitsubishicomfort.com
73299,7539,"Sheren Plbg. & Htg., Inc.",2319437916,http://www.mitsubishicomfort.com
73299,7540,Airquip Heating,5856413080,http://www.mitsubishicomfort.com
73299,7541,Advanced Heating and Cooling,4108339445,http://www.mitsubishicomfort.com
73299,7542,Air Care Today,5123486810,http://www.mitsubishicomfort.com
73299,7543,"AP Merkel, Inc.",6109440476,http://www.mitsubishicomfort.com
73299,7544,K.M. Sency Plumbing & Heating,5704278971,http://www.mitsubishicomfort.com
73299,7545,Sila Heating & A/C,4107602121,http://www.mitsubishicomfort.com
73299,7546,One Hour Heating & Airconditioning,7242251644,http://www.mitsubishicomfort.com
73299,7547,Andy Andres Air Conditioning & Ref.,9548012966,http://www.mitsubishicomfort.com
73299,7548,Total Comfort,7633838383,http://www.mitsubishicomfort.com
73299,7549,Davis Brothers Heating & Cooling,7244656722,http://www.mitsubishicomfort.com
73299,7550,Precise Refrigeration Heating & Air Conditioning,3203637401,http://www.mitsubishicomfort.com
73299,7551,"Humbert Heating & A/C, Inc.",7247745043,http://www.mitsubishicomfort.com
73299,7552,AirTec Heating & A/C,5417617198,http://www.mitsubishicomfort.com
73299,7553,Kern Mechanical,6613240214,http://www.mitsubishicomfort.com
73299,7554,"Four Season's Comfort, LLC",9205652095,http://www.mitsubishicomfort.com
73299,7555,"Olsen Mechanical, Inc.",5706854490,http://www.mitsubishicomfort.com
73299,7556,Mick's TV & Appliance,4027567052,http://www.mitsubishicomfort.com
73299,7557,"Haley Comfort Systems, Inc.",5072810138,http://www.mitsubishicomfort.com
73299,7558,Addcox Heating Center,5416726473,http://www.mitsubishicomfort.com
73299,7559,Luxury Heating Co.,4403660971,http://www.mitsubishicomfort.com
73299,7560,Jos. Frederick and Sons,3029945786,http://www.mitsubishicomfort.com
73299,7561,Christensen Heating and Air Conditioning,9207313002,http://www.mitsubishicomfort.com
73300,7562,"Energy Savers, Inc.",7063241738,http://www.mitsubishicomfort.com
73299,7563,"Home Comfort Heating & A/C, Inc.",5413452838,http://www.mitsubishicomfort.com
73299,7564,"Right Way Plbg. Htg., A/C, Inc.",3608552665,http://www.mitsubishicomfort.com
73299,7565,Bayside Heating & Air Conditioning,6502999070,http://www.mitsubishicomfort.com
73299,7566,"Eastern Shore Heating & Air, Inc.",4107422597,http://www.mitsubishicomfort.com
73299,7567,Green Heating & Cooling,7704792844,http://www.mitsubishicomfort.com
73299,7568,"Lochard, Inc.",9374928811,http://www.mitsubishicomfort.com
73299,7569,Schibi Heating & Cooling Corp.,5133853344,http://www.mitsubishicomfort.com
73299,7570,Fred's Heating & Air,4028953030,http://www.mitsubishicomfort.com
73299,7571,Brewer Heating & AC,6106925252,http://www.mitsubishicomfort.com
73299,7572,J.M. Oliver Inc,6105444884,http://www.mitsubishicomfort.com
73299,7573,New Berlin Heating,2627848889,http://www.mitsubishicomfort.com
73299,7574,Chappel's Heating & Cooling,6306683466,http://www.mitsubishicomfort.com
73299,7575,"Perry Aire Services, Inc.",7033497986,http://www.mitsubishicomfort.com
73299,7576,E & V Energy - Ithaca,6072411010,http://www.mitsubishicomfort.com
73299,7577,Comfort Systems a Division of The Waldinger Corp,3162657831,http://www.mitsubishicomfort.com
73299,7578,"Air Design Heating & A/C, Inc",3526292626,http://www.mitsubishicomfort.com
73299,7579,Brodin Comfort Systems,2186814433,http://www.mitsubishicomfort.com
73299,7580,Aero Energy,8557796908,http://www.mitsubishicomfort.com
73299,7581,"ACI Northwest, Inc.",2087729571,http://www.mitsubishicomfort.com
73299,7582,Dual Purpose Corp.,7188865820,http://www.mitsubishicomfort.com
73299,7583,CMR Heating & Cooling,7344249555,http://www.mitsubishicomfort.com
73300,7584,Groombridge HVAC,7812493839,http://www.mitsubishicomfort.com
73299,7585,"Black Bear Plumbing, Heating and A/C",8457918900,http://www.mitsubishicomfort.com
73299,7586,"Ameri Temp Air Conditioning, Inc.",3052212255,http://www.mitsubishicomfort.com
73299,7587,Green Box,8593269863,http://www.mitsubishicomfort.com
73299,7588,Rittenhouse Comfort & Energy Services,4106651660,http://www.mitsubishicomfort.com
73299,7589,Sol Luna Solar,5757793715,http://www.mitsubishicomfort.com
73299,7590,B.M.C/Clower,8669049946,http://www.mitsubishicomfort.com
73300,7591,Aire Serv Heating & Air Conditioning,2604854400,http://www.mitsubishicomfort.com
73299,7592,A&E Heating & Air,5413873311,http://www.mitsubishicomfort.com
73300,7593,T Miller Heating & Cooling,8125460798,http://www.mitsubishicomfort.com
73300,7594,Summit Air,8888889338,http://www.mitsubishicomfort.com
73300,7595,Star Heating & Air Conditioning Co.,5734493784,http://www.mitsubishicomfort.com
73299,7596,"Moldes Plumbing, Heating & A/C",3202698859,http://www.mitsubishicomfort.com
73299,7597,Coffee Heat & Air,8063238629,http://www.mitsubishicomfort.com
73299,7598,W.B. Steward & Son,8568459117,http://www.mitsubishicomfort.com
73299,7599,"Brent's Heating & Cooling, LLC",2183844505,http://www.mitsubishicomfort.com
73299,7600,Rex Air,3058528230,http://www.mitsubishicomfort.com
73299,7601,Berlin Heating & Cooling,3308933057,http://www.mitsubishicomfort.com
73299,7602,Victory Heating & Air,8646558080,http://www.mitsubishicomfort.com
73299,7603,George Brazil Air Conditioning and Heating,6022579000,http://www.mitsubishicomfort.com
73299,7604,ARS - Raleigh,8887627752,http://www.mitsubishicomfort.com
73299,7605,"Global Cooling, LLC",8309927887,http://www.mitsubishicomfort.com
73299,7606,"B-Cool Air Conditioning & Heating, Inc.",9045099744,http://www.mitsubishicomfort.com
73299,7607,MM Comfort Systems,4258817920,http://www.mitsubishicomfort.com
73299,7608,Canella Heating & Air Conditioning,8283279680,http://www.mitsubishicomfort.com
73299,7609,Hal Fish Heating & A/C,5707314240,http://www.mitsubishicomfort.com
73299,7610,Adco Heating & Air,2708985771,http://www.mitsubishicomfort.com
73299,7611,Airmax Heating and Cooling,9107984822,http://www.mitsubishicomfort.com
73299,7612,"Comfort Cooling, Heating & Air",4347912051,http://www.mitsubishicomfort.com
73300,7613,Baxter Electric Heat & Air and PLumbing,4053413941,http://www.mitsubishicomfort.com
73299,7614,All American Air Conditioning,9288554549,http://www.mitsubishicomfort.com
73299,7615,Etheridge Heating and Air,4789940647,http://www.mitsubishicomfort.com
73299,7616,Fayette AC & Heating,9288547766,http://www.mitsubishicomfort.com
73299,7617,Gladd Heating & Air Conditioning,8668305444,http://www.mitsubishicomfort.com
