advertiser_id_from_network,campaign_id_from_network,name,destination_phone_number
73300,5180,Custom Cooling,9725710093
73300,5181,"Express Air & Heating Inc,",8014846204
73300,5182,Regent Heating & AC,9149394404
73300,5183,Kehne's Frederick Electrical,3016636398
73300,5184,Air Control,8037872036
73300,5185,Bruce's Refrigeration Heating & Cooling,2185221366
73300,5186,Chuck's Heating & Refrigeration,2183872920
73300,5187,Midway Sheetmetal,2186249446
73300,5188,Fuquay Heating & Air,9195526285
73299,5189,"T Kelly Heating and Cooling Solutions, LLC",3208343411
73300,5190,Yukos Heating & A/C,8453006653
73299,5191,Greeley Plumbing and Heating and Airconditioning,3206344486
73300,5192,The Ace Pricing Company,2102603499
73300,5193,Atlantic Pratt Oil Co. aka Atlantic Pratt Energy,7818484420
73300,5194,Countryside Heating & Air Conditioning,9194274027
73300,5195,Ranger HVAC,2106215331
73300,5196,Chris' AC Company,3525214977
73300,5197,D & S Heating and Cooling,8435220034
73300,5198,MK Mechanical,8655310434
73300,5199,Benitz Service Company,6608260172
73300,5200,Bob Fox Services,3012619079
73299,5201,"Rogers Control, Inc.",7154796919
73300,5202,York Oil and Propane,2073636457
73300,5203,"RSF, LLC",8082813147
73300,5204,"Kona Industries, Inc.",8083297789
73300,5205,Triple A A/C Service LLC,2404175632
73300,5206,Walsh Appraisals,6313761014
73299,5207,Ditter Inc.,7634789558
73300,5208,HVAC Shop,3202596962
73300,5209,"Rundle Heating & Cooling, Inc.",4402368825
73300,5210,Lyon Sheet Metal  & Heating,3202521371
73300,5211,Hilliard Heating & Cooling,7638565988
73300,5212,Innovative Building Technologies,3157354380
73300,5213,M & R Heating & Air Conditioning Services,3157948621
73300,5214,Remco,8082441997
73300,5215,Service America,9549791100
73300,5216,"Preferred Air Conditioning, Inc.",9549429955
73300,5217,Jupiter Tequesta A/C,5617475740
73299,5218,COOLAIR INC.,2392757077
73299,5219,"Air Tech HVAC/R, Inc.",5415362463
73299,5220,Air Conditioning Unlimited,8088390909
73300,5221,Dunlap's Heating and Air Conditioning,8504782929
73300,5222,Angus Heating & Air,8504847471
73300,5223,York Mechanical HVAC,2122440001
73300,5224,Indoor Air Professionals,2397686575
73299,5225,Yoshi's Refrigeration and A/C Service Inc.,8086251373
73299,5226,Absolute Comfort Heating AC,7194712347
73300,5227,Airextreme,8086781400
73300,5228,ABR Heating Cooling & Plumbing,2169325555
73300,5229,FBN Enterprises,3045596766
73300,5230,Air Technicians of San Antonio,2104943632
73300,5231,American HVAC-R Service,9547847431
73299,5232,"Bayside Comfort, Inc.",4197326688
73300,5233,"Modern AC Technology, Inc.",5614793857
73300,5234,Advanced Heat-Air Systems,9786570090
73300,5235,"Air Murphy A/C & Refrigeration, Inc.",9544247499
73300,5236,Junction Climate Control,7242740633
73300,5237,Petro Oil - Pennsauken,8667387648
73300,5238,Johnson Heating & Air Conditioning,5073732264
73300,5239,Gleason & Elfering,8475666009
73300,5240,Dr. Climate,2196590450
73299,5241,Mechanical Htg. & Clg.,3132777630
73300,5242,First Choice,8473616809
73299,5243,American Air Incorporated,9786408880
73300,5244,"Amtec Services, Inc.",8136853997
73300,5245,AMAC of New York,7183446710
73299,5246,"Zimmerman's A/C & Heating, Inc.",8133892269
73299,5247,128 Plumbing Heating and Cooling,7812459200
73300,5248,"Air Vice Mechanical, LLC",8139969693
73300,5249,Lonnie's Air Conditioning & Heating Inc,8139851779
73299,5250,"Arthur L. Harris Jr., Inc.",8133357245
73300,5251,Clemons Air Conditioning,8138764582
73300,5252,"Mercury Mechanical Services, Inc.",4079579127
73300,5253,"Browning Sales & Service, Inc.",9047654458
73299,5254,Tropic Aire,9047139600
73300,5255,A/C Tech Services,9042722191
73300,5256,Unique Indoor Comfort-Elmhurst,6308334400
73300,5257,J. Gillies Heating and Air Conditioning,2154689444
73300,5258,Cool Breeze,2122445800
73299,5259,ICS,6104328070
73299,5260,Apex Professional Mechanical Services Inc.,6107566428
73300,5261,VanRooyen Heating & Air,8595098159
73299,5262,First Choice Heating & Cooling,2625472030
73300,5263,"Air Temp Services, LLC",8643031451
73299,5264,"Bailey Heating & Controls, Inc.",8649631652
73299,5265,"Warner Service Frederick, LLC",3016625387
73299,5266,Scott's Heating & Cooling,8642292470
73300,5267,Commercial Air Condition Service Inc.,8642717637
73299,5268,"Kelly Heating & Electric, LLC",7158326909
73299,5269,Kelly's Heating & AC,3203542281
73300,5270,The Bosworth Company,4325705233
73299,5271,"Leggett, Inc.",7177374562
73299,5272,SECCO Home Services,7177378100
73300,5273,"Marina Cooling, Inc.",9178155812
73300,5274,All Temp Refrigeration,4196955015
73300,5275,David Clarke Refrigeration,9196304163
73300,5276,Ruiz Air Conditioning,5204211079
73300,5277,Service Experts,4124863300
73299,5278,Stack Heating & Cooling,4409379134
73300,5279,Bill Kap Co.,3304678271
73300,5280,Bowien Mechanical/Bowien Heat & Air,5129309187
73299,5281,Covenant Air Conditioning & Heating,5125156946
73300,5282,Dunn HVAC & Refrigeration,5128212911
73299,5283,"Flood Air, Inc.",9497687733
73299,5284,Malek Heating & Cooling,8478071876
73300,5285,Beebe Heat & Air,5018820500
73300,5286,Keith's Air Cond,7138697161
73300,5287,Terri-O Inc,7134731515
73300,5288,"Air Conditioning Company, Inc.",5126924778
73299,5289,Reeder's Air Conditioning & Heating Inc,9799685277
73300,5290,Vancomm,9177715018
73300,5291,RPS Mechanical,8082279882
73300,5292,Cleghorn HVAC Services,2563101256
73300,5293,R J Mechanical,7077926840
73300,5294,Boer Brothers Heating & A/C,9199299886
73300,5295,Lavertu Electric LLC,2074365545
73300,5296,"Condee Cooling and Electric, Inc",2393945121
73300,5297,72 Degrees of Hickory,8283250072
73300,5298,Hayden Heating & Air Conditioning,2087725466
73300,5299,T.A. Kaiser,3172971622
73300,5300,Penland Heating & Air Conditioning,9197327855
73300,5301,Master Mechanical,6519051600
73300,5302,Sampson - Bladen Oil Company,9108623197
73299,5303,Nance's Heating & Air,9106862811
73299,5304,Pridgen Brothers Construction,9106428174
73299,5305,"Bouldin's Heating & Air, Inc.",9108428425
73299,5306,Green Dot Heating and Cooling,9107910480
73300,5307,Marina Mechanical,5106143500
73300,5308,"M & M Mechanical, Inc.",4325204568
73300,5309,D & S Heating,5148557928
73300,5310,Hines Heating & Air,9199349359
73300,5311,Intercoastal Mechanical Heating & Cooling,2529750685
73300,5312,"A & A Air Services, Inc.",3024364800
73300,5313,"Air Concepts, Inc.",7709459488
73299,5314,"A Comfort Service, Inc.",7249358197
73300,5315,Leo A. Daly,6127528735
73300,5316,"Above Air, Inc.",5614880832
73300,5317,Energy Wise,6312916113
73300,5318,Advance Heating and A/C,3075873462
73300,5319,"Sharti Consultants, Inc.",2059794630
73299,5320,Heat-Tek Heating & AC,6072390466
73300,5321,Petro Oil - Princeton,6098881336
73300,5322,Weaver Heating and Air Inc.,7703871570
73300,5323,Atlas Butler,5132442420
73299,5324,AGS Services,6034287990
73300,5325,Mid Nebraska Service,3085832941
73300,5326,"Saker Mechanical, Inc.",4056721577
73299,5327,Air Masters Heating & Air Conditioning,9705327618
73300,5328,"Janus, Inc.",4127990100
73299,5329,Aloha State Refrigeration & Air Conditioning,8088420095
73300,5330,"Air Systems, Inc-San Jose",4082801666
73300,5331,"Smith Heating & Plumbing, Inc.",7127834528
73300,5332,Stumbo HVAC,6613436686
73300,5333,Kinetics Mechanical Services,9252456200
73299,5334,Haynes Home Improvement,2406266491
73300,5335,J. Halligan & Sons,6104499001
73300,5336,Boyle Heating & Firplace,5708243446
73300,5337,"Aire-Technics, Inc.",7134666664
73300,5338,J & L Air Solutions LLC,3042325646
73300,5339,Anderson Sheet Metal Company,8642252711
73300,5340,"Gene's Appliance, Air Conditioning & Heating",6184626732
73299,5341,"ARC Mechanical Contractors, Inc.",6034436111
73299,5342,"ARC Mechanical Contractors, Inc.",6034484006
73300,5343,Maciejewski Heating Air Cond & Plumbing,5734373214
73300,5344,Staples Service Company,3142914638
73300,5345,Neu-Heart Service,9149410783
73300,5346,Stovicek Heating & Air Conditioning,2162925810
73300,5347,FM Berkheimer Inc.,7177666152
73300,5348,Hodge Heat & Air,7048927002
73300,5349,Pacific HVAC Service,8585219271
73300,5350,The Geopfert Company,3307627433
73300,5351,Lebanon Servco Inc.,5414515090
73300,5352,"Piping Systems, Inc.",2565332858
73300,5353,ACC Planned Service Inc.,9209970780
73300,5354,"VDH Mechanical Services, LLC",9202179233
73300,5355,Boyd Electric Mechanical,3253385393
73300,5356,Leneer Inc.,3524644661
73300,5357,The Brewer- Garrett Co.,3308967910
73300,5358,HPW Contracting,5028759040
73300,5359,Energy Homes,5122935294
73299,5360,Berry's Cooling Inc.,7187829127
73300,5361,J & L Service,2567608038
73300,5362,D & D Enterprises,8435628732
73300,5363,Surety HVAC,7752472428
73300,5364,Chasport International,7186361788
73300,5365,Spinnenweber PFV,8453317473
73300,5366,Promexus Mechanical Inc.,4128844935
73300,5367,A-1 Comfort Systems,8436693319
73300,5368,Mr. G's Heating & Air,7089229509
73300,5369,"Lutz Plumbing, Inc",4156214292
73300,5370,Martin & Martin Associates,2175301070
73300,5371,Rudy's HVAC,3155751595
73300,5372,Suburban Satellite,8456211155
73300,5373,Cds Air Conditioning,3619356530
73300,5374,West Climate Control,2313485996
73300,5375,"Donald L. Lowe & Sons, Inc.",
73300,5376,Padgett's Air Conditioning & Htg. Inc.,9045885222
73300,5377,Healthy Home Mammoth Vac,4799273939
73300,5378,"D.E.B. & Associates, Inc.",9095997700
73300,5379,Mitchell Electric,3047372839
73300,5380,Hardy Corporation,2052527191
73300,5381,Peters Heating & Air Conditioning,2178472777
73299,5382,A. Borrelli Mechanical,9144953030
73300,5383,Action Air Conditioning and Heating,8509945423
73299,5384,All Season's Heating and Cooling,2524919232
73300,5385,Perfectionaire Heating & Cooling,6602632292
73300,5386,Green Park Maintenance,3013348581
73299,5387,Don Hoffacker's Air Conditioning & Heating,3019720017
73300,5388,Vandom Productions & Construction LLC,2678253614
73300,5389,Your Comfort Company,4104828847
73299,5390,Graybeal Air Systems,5026334941
73300,5391,Ed Trahan Htg. & A/C,7137238070
73300,5392,T-N-T Heating and Air,8432804348
73300,5393,"General Supplies, Inc.",6269618822
73300,5394,"Warren Service & Supply, Inc.",2603753010
73300,5395,Kepar Mechanical Services,8434582108
73300,5396,Tyler Mechanical Contracting Inc.,3018318696
73300,5397,Miller Plumbing & Electric,8437749993
73299,5398,"Clyde E. Smith, Inc.",4349770940
73300,5399,"Holly Hill Services, Inc.",8034962010
73300,5400,Valley Isle Air Conditioning,8082492757
73300,5401,Vahe,6266168243
73300,5402,Home Comfort Systems,8645546324
73300,5403,Sansone Corporation - Deerfield Beach,9544288919
73300,5404,K & S Air Conditioning,7146532961
73300,5405,B.E. Holbrooks Inc.,7048882411
73300,5406,Island Controls,8084211600
73299,5407,JMS A/C & Heating,8185016750
73299,5408,"Giordano's Heating & Air Conditioning Co., LLC",2037347648
73299,5409,20/20 Air Service Corp.,8603501331
73300,5410,Neighborhood Htg. & Clg.,2484864688
73300,5411,Nielsen Services,8286264132
73299,5412,Bowman Sheet Metal,7636821971
73300,5413,McCreary's HVAC,5704738815
73300,5414,Ulitsch Mechanical Services,8606681965
73299,5415,"Becker and Becker, Inc.",3099443592
73300,5416,"Pro Air, LLC",2034817036
73299,5417,Heckman Refrigeration,8458567129
73300,5418,"Enfield Mechanical Services, LLC",8602502805
73299,5419,"McLoughlin Plumbing and Heating Co, Inc.",6104492704
73300,5420,"Moore Heating & A/C, LLC",9013864444
73299,5421,Northwest Mechanical,2062674328
73299,5422,Air Flo Heating-Sequim,3606833901
73299,5423,"The Barton Boys, Inc.",5098925300
73299,5424,Norstar Heating & Cooling,5096844291
73300,5425,Traditional Refrigeration & Heating,4796015075
73299,5426,Cougar Mechanical,5094846420
73300,5427,Brown Refrigeration Inc.,9013621881
73299,5428,Jersey Coast Appliance,7322402262
73299,5429,M Campbell & Company,5095459848
73300,5430,Little Mechanical Co.,9736169200
73300,5431,French Broad EMC,8286492051
73300,5432,Road Runner Heating & Cooling,5738735300
73299,5433,"Wilson Services, Inc.",4135843317
73300,5434,Pennco Technical School,8562641097
73300,5435,Gateway Air Conditioning & Sheet Metal,9155331756
73300,5436,"Michiana Indoor Comfort Systems, Inc.",5748751442
73299,5437,"J.K. Mechanical, Inc.",7174640111
73299,5438,"Humbert, Inc.",7172441767
73300,5439,Ainsworth & Company,2818378454
73300,5440,US Equities,3127147405
73300,5441,Bentz Heating & Air Conditioning,7242240781
73300,5442,Don Amburgey's Plumbing,6066423085
73300,5443,Flood Electric Heating & Cooling,3152546966
73300,5444,Smith's Inc. of Dothan,3347946721
73300,5445,"Temp Tech Mechanical Service Co., Inc.",8603950415
73300,5446,"Peirce Refrigeration, Inc.",5085861088
73300,5447,Universal Services,6013944510
73300,5448,O'Daniel Heating & A/C,9729359718
73300,5449,Chris Smith,8705848379
73300,5450,H.D. Lott Heating and Cooling,7063386432
73300,5451,"Air Flow Mechanical Services, Inc.",7182590036
73299,5452,Modern Cooling & Heating,9726130082
73299,5453,Patterson Plumbing and Heating,7195544922
73299,5454,Flow-Tech Plumbing & Heating Inc.,2602482021
73299,5455,Air Care Heating & Cooling,9133625274
73299,5456,King Air Conditioning & Heating,6184667574
73300,5457,Lee's Summit Heating & Cooling,8165257218
73299,5458,Modern Heating & Cooling,2565460310
73299,5459,Ductless Central,7184267776
73300,5460,Scudder-Taylor Oil Company,5087750474
73299,5461,Harris Heating & Cooling,5737564297
73300,5462,W. E. Bolton Construction & Service,8282533621
73299,5463,Girard Heating & Air Conditioning,4135682946
73300,5464,Martin Service Co. Inc.,6362255854
73299,5465,Comfort Matters,7635150166
73300,5466,Arras Air,3147051733
73299,5467,In-Line Air Conditioning,2013398122
73300,5468,"Enhanced Living, Inc.",5182350311
73299,5469,Diamond Heating Comfort Systems Incorporated,9075613490
73299,5470,"BTU Control, Inc.",5086273999
73300,5471,Morris Jenkins Heating & Cooling,7043570484
73300,5472,Rich Services,6092729027
73299,5473,"Haller Enterprises, Inc.",7176251500
73300,5474,"J. M. Fletcher Heating & Air Conditioning, Inc.",3016625461
73300,5475,Hubber Heating & Cooling,8648771570
73300,5476,"Any Temp Any Time, LLC",9145842736
73300,5477,Pure Air Heating Company Inc,8475838188
73299,5478,"Gulf Shore Cooling, Inc.",2399391137
73300,5479,Russell Construction,8088700834
73300,5480,Thermo Mechanics Incorporated,9858451701
73300,5481,"Altman Air Conditioning Company, Inc.",5618638663
73300,5482,Evergreen Financial Group Inc.,3059480140
73300,5483,BP Heating & Cooling,4104466138
73300,5484,Jerry's A/C,4052063854
73300,5485,Authorized Heating & Air Conditioning,8642810141
73300,5486,Pittman Heating & A/C Inc.,8648823215
73300,5487,Total Comfort Systems,8054993160
73300,5488,"Stillman Aire Service Heating & A/C, Inc.",7604318266
73300,5489,Emery Mechanical Engineering,6194645348
73300,5490,Hesco Company,2153222669
73299,5491,"Air, Plumbing & Heating Solutions, LLC",4103564016
73300,5492,Renova Cooling Company,6462368565
73300,5493,Darrell Wood,2565648524
73300,5494,Industrial Building Services,2148820378
73300,5495,Advanced Air,2397685558
73300,5496,"Brazos Distributors, Inc.",2547561738
73300,5497,Gene Schafer,4326828487
73300,5498,Budget Heating & Air Inc.,8015630504
73300,5499,"Anchor Heating & Air Conditioning Co., Inc.",3157248829
73300,5500,Roscoe Brown Tullahoma,9315810405
73300,5501,Direct Heating & Cooling,2392422430
73300,5502,Lucky Beaver Corp.,7188262700
73300,5503,"Snyder & Son Air Conditioning, LLC",4697663695
73299,5504,Garrett Pillsbury Plumbing & Heating,2079852130
73300,5505,"Design Aire, Inc.",3147391600
73299,5506,"Bruce Mitchell Ref., Htg. & A/C",2318434564
73299,5507,"Gilbert Lee Construction, Inc.",5594451598
73300,5508,Ruanos Store,6206248831
73299,5509,"Kalos Services, Inc.",3522437088
73300,5510,Perimeter Mechanical,7705171060
73299,5511,Rube's Inc.,6207936769
73300,5512,"Flaming's Plumbing, Heating & A/C Inc.",6203822181
73300,5513,Mansfield Enterprises,3084324753
73300,5514,"Cool Florida, Inc.",5618588600
73299,5515,Desert Air,7603233383
73300,5516,Ampak Enterprises,9492789009
73300,5517,H & M Mechanical,3035305604
73300,5518,Boaz Air,9038934414
73299,5519,"Four Seasons Heating, Inc.",3034231982
73299,5520,"American Air Heating & A/C, Inc.",9706866086
73299,5521,McManus Heating & Cooling Company,4123439075
73300,5522,Dale Spurk Heating & Air Conditioning,7247762763
73300,5523,Precision Indoor Environments,
73300,5524,AAMS,2023917152
73300,5525,Wm. R. Karns Plbg. & HVAC,8144323739
73300,5526,"Cool Desert Air, Inc.",6236959740
73299,5527,"Cloud Heating & Air Conditioning, Inc.",7858422258
73300,5528,"Tri-State Heating & Cooling, Inc.",5138294333
73300,5529,Symmetry Construction Services,5035332200
73300,5530,Western Heating & Cooling - Beaverton Office,5036475808
73300,5531,"Tropic Air, Inc.",9174183354
73300,5532,Conservation Systems,4073519121
73299,5533,Oney's Heating & A/C,4238698589
73300,5534,Bailey's Heating and Air,8643142994
73299,5535,American Comfort Solutions,9195529223
73300,5536,JCI,9046263186
73299,5537,"McCullough Htg. & A/C, Inc.",5122800011
73300,5538,Cypress Heating & A/C,6269639810
73300,5539,Cole Training,7705131487
73300,5540,"W.V. Alton, Inc.",5307427119
73300,5541,Harris Mechanical,6024437300
73299,5542,ASI Hastings Heating & Air,6195909300
73300,5543,Countywide Mechanical Systems,
73299,5544,"Splendid Heating & Cooling, LLC",6784144556
73299,5545,Lucky Air,9516828573
73300,5546,Western Mechanical,6612510111
73299,5547,"Queirolo's Heating & Air Conditioning, Inc.",2094649658
73300,5548,Bella Mechanical,7182731753
73299,5549,Grand Heating & Air Conditioning,3238702923
73299,5550,Dick's Heating and AC Inc,2535319579
73300,5551,Quest HVAC and Refrigeration,7074594004
73300,5552,Alpine Air Mechanical,6312495071
73299,5553,GV's Heating & Cooling Inc,8477299190
73300,5554,Quality Comfort Heating & A/C,8435099746
73299,5555,D'Antignac & Merritt,7066670196
73299,5556,Palmetto Comfort Control,8437263549
73300,5557,Doc Savage Heating  & A/C,7067934131
73300,5558,Enertec Inc.,6308944990
73299,5559,Bowman's Cooling & Heating,6095220121
73300,5560,"Kirwan Mechanical Services, Inc.",8156090250
73300,5561,William G. Day Company,3024273700
