advertiser_id_from_network,campaign_id_from_network,name,destination_phone_number,url,status_code,error_message
73300,4099,Rick Marshall Heating & Cooling,6068450447,,201,""
73300,4100,"Shirey Heating & Air, Inc.",8037911610,,201,""
73300,4101,Standard Renewable Energy,8666639764,,201,""
73300,4102,Affordable Works,9853864007,,201,""
73300,4103,Services Unlimited Heating & A/C Raleigh,9198687312,,201,""
73300,4104,John Waters Inc.,5028960850,,201,""
73300,4105,Thermal Piping,6097240006,,201,""
73300,4106,Richard's Heating & Cooling,9738572019,,201,""
73300,4107,Nelson Air Device,7187293801,,201,""
73300,4108,WS Mechanical,9737728773,,201,""
73300,4109,Flow-Tech Air Conditioning Corporation,3052645051,,201,""
73300,4110,American Mechanical Heating & A/C,7703391492,,201,""
73300,4111,Sparta Heating and Air Conditioning,9316862942,,201,""
73300,4112,"Moulis Mechanical, Inc.",3372346431,,201,""
73300,4113,ACR Enterprises,2128766087,,201,""
73300,4114,H.C. McComas Fuel Co,4106695000,,201,""
73300,4115,Funck's A/C & Heating,9855900322,,201,""
73300,4116,Nash Heating & A/C,5048354440,,201,""
73299,4117,Aucella Heating & Air Conditioning,8669266888,,201,""
73299,4118,ARS,4124872400,,201,""
73300,4119,Aquarec Fireside,2536821792,,201,""
73299,4120,Comfort Air Heating & Cooling,3608912665,,201,""
73300,4121,"Climate Masters, Inc.",4088610786,,201,""
73300,4122,Lexington Unique Indoor Comfort,8592557650,,201,""
73300,4123,"Greenwood Refrigeration, Inc.",2707822668,,201,""
73300,4124,Burton Mechanical,2518476717,,201,""
73300,4125,Four Seasons Company,8652199886,,201,""
73300,4126,Clark Nexsen,7043778800,,201,""
73300,4127,Cantrell's Heat & Air,8656872520,,201,""
73300,4128,Lyons Air Conditioning,8063537994,,201,""
73300,4129,Climate Control,5034534822,,201,""
73300,4130,Rudroff Heating & Air,8163314347,,201,""
73300,4131,Contracts Inc.,2058545070,,201,""
73300,4132,SharkeyAir,7722202487,,201,""
73300,4133,Midway Services,7275739500,,201,""
73300,4134,Southern Comfort of Charlotte,7044238870,,201,""
73300,4135,Eubanks Humphrey Engineering,3363796603,,201,""
73300,4136,Nu Creation Mechanical,5169034756,,201,""
73300,4137,Excellent Air Conditioning  Inc,9172955159,,201,""
73300,4138,J & G Heating and Air Conditioning,9512475671,,201,""
73300,4139,"W.H. Smith Resources, Inc.",9518988735,,201,""
73300,4140,Addison Homes LLC,8648482667,,201,""
73300,4141,"Absolute Mechanical Services, Inc.",9499392949,,201,""
73300,4142,"LUWA, Inc.",8642772990,,201,""
73300,4143,"DRS Services, Inc.",9195520407,,201,""
73300,4144,Oakleaf Real East Management Co.,7122553665,,201,""
73300,4145,Superior Mechanical,3364987609,,201,""
73300,4146,Fuller Heating and Cooling LLC,7315846757,,201,""
73299,4147,Automatic Heat Service & Installation Principal,5417267656,,201,""
73300,4148,Vital Mechanical,2539516275,,201,""
73300,4149,Mulberry Mechanical,9145642828,,201,""
73300,4150,"RPM Mechanical Services, Inc.",9257664124,,201,""
73300,4151,Trinity EMCS Inc.,7074951813,,201,""
73300,4152,Dean Howard Heat & Air,7605598100,,201,""
73300,4153,Quality Air,2673779693,,201,""
73300,4154,Prospect Park Refrigeration,7187887038,,201,""
73300,4155,Brighthome Energy Solutions,8456567184,,201,""
73300,4156,Gipson Mechanical,6158855231,,201,""
73300,4157,Commercial Service,9704619288,,201,""
73300,4158,Bedford Sheet Metal,7184860251,,201,""
73300,4159,"EMS HVACR, Inc.",9364473885,,201,""
73300,4160,"Control Air Systems, Inc.",7812860930,,201,""
73300,4161,Entis Mechanical Services,9369312665,,201,""
73300,4162,Godby Heating and Air Conditioning LLC,3172443444,,201,""
73300,4163,Swift Air Mechanical,3177103811,,201,""
73300,4164,Kasidonis Heating and Cooling,3302208125,,201,""
73300,4165,"Western Air Conditioning Company, Inc.",9097216943,,201,""
73300,4166,New Idea Controls,4198797557,,201,""
73300,4167,"Southern Mechanical, Inc.",7046979700,,201,""
73299,4168,JMI Services Inc,7705049212,,201,""
73300,4169,Lord Jeffery Inn,4132188836,,201,""
73300,4170,Nau Heating & Cooling,8102236659,,201,""
73300,4171,Benton Mechanical,2158084245,,201,""
73300,4172,TEC Plumbing & Heating,6037062150,,201,""
73300,4173,PM Mackay,6038822991,,201,""
73299,4174,Ives Brothers Inc.,8604236381,,201,""
73300,4175,"Affordable Heating & Air, Inc.",4103265029,,201,""
73299,4176,"Hammond Services, Inc.",7702275325,,201,""
73300,4177,Barrell Plumbing,6178645050,,201,""
73300,4178,Macco Energy,2072890247,,201,""
73300,4179,Donaldson Heating & Cooling Inc,7046633482,,201,""
73300,4180,NVE Mechanical,7038804188,,201,""
73299,4181,"Planet HVAC, LLC.",5034346677,,201,""
73300,4182,Linc Mechanical,2489105276,,201,""
73300,4183,Blauch Bros,5408106393,,201,""
73300,4184,Benson Heating,2486747450,,201,""
73300,4185,MC Lienhart P & H,6036482739,,201,""
73300,4186,M.J. Fahey & Sons Inc.,2035744808,,201,""
73300,4187,"Budget Services, LLC",2052532799,,201,""
73300,4188,CVN Heating & Cooling,6026965350,,201,""
73300,4189,Go Green Heating and Cooling,5122882665,,201,""
73300,4190,"Keith Beaudoin Plumbing and Htg, AC",6178388927,,201,""
73300,4191,Sea Air Comfort Systems,8436504477,,201,""
73300,4192,Artic Air Inc,6027404424,,201,""
73300,4193,Ellis Heating & Air,9192443413,,201,""
73300,4194,Euro Comfort,9146683232,,201,""
73300,4195,Expert Express,9196768882,,201,""
73300,4196,Gibson Air Mechanical Inc,6314562106,,201,""
73300,4197,MJT Mechanical (Metro NY area),5165814449,,201,""
73300,4198,Duggins Mechanical Services,3362262164,,201,""
73300,4199,Alger Plubing and Heating,6163228000,,201,""
73300,4200,G K Smith & Sons Inc,9132945379,,201,""
73300,4201,Reaume Heating,6168425672,,201,""
73300,4202,Aire Serve of P.G County,2015742148,,201,""
73300,4203,Artic Refrigeration,4109413188,,201,""
